client_id,cluster,persona
C003722,1,Transfer & cash movers
C003723,3,High-velocity spenders
C003727,3,High-velocity spenders
C003728,0,Subscription regulars
C003733,0,Subscription regulars
C003734,0,Subscription regulars
C003736,0,Subscription regulars
C003738,0,Subscription regulars
C003739,3,High-velocity spenders
C003740,3,High-velocity spenders
C003741,2,Low-key everyday users
C003743,3,High-velocity spenders
C003745,0,Subscription regulars
C003746,3,High-velocity spenders
C003748,3,High-velocity spenders
C003750,3,High-velocity spenders
C003751,3,High-velocity spenders
C003753,1,Transfer & cash movers
C003754,2,Low-key everyday users
C003756,1,Transfer & cash movers
C003764,1,Transfer & cash movers
C003765,3,High-velocity spenders
C003766,2,Low-key everyday users
C003770,1,Transfer & cash movers
C003773,3,High-velocity spenders
C003774,3,High-velocity spenders
C003775,1,Transfer & cash movers
C003776,0,Subscription regulars
C003778,3,High-velocity spenders
C003779,3,High-velocity spenders
C003781,1,Transfer & cash movers
C003784,0,Subscription regulars
C003785,0,Subscription regulars
C003786,2,Low-key everyday users
C003788,3,High-velocity spenders
C003789,2,Low-key everyday users
C003790,1,Transfer & cash movers
C003791,2,Low-key everyday users
C003792,1,Transfer & cash movers
C003793,3,High-velocity spenders
C003799,0,Subscription regulars
C003801,0,Subscription regulars
C003802,1,Transfer & cash movers
C003805,0,Subscription regulars
C003806,0,Subscription regulars
C003807,3,High-velocity spenders
C003808,1,Transfer & cash movers
C003809,0,Subscription regulars
C003811,3,High-velocity spenders
C003812,2,Low-key everyday users
C003813,3,High-velocity spenders
C003814,3,High-velocity spenders
C003816,0,Subscription regulars
C003817,1,Transfer & cash movers
C003818,0,Subscription regulars
C003821,0,Subscription regulars
C003822,0,Subscription regulars
C003823,0,Subscription regulars
C003824,0,Subscription regulars
C003826,1,Transfer & cash movers
C003831,2,Low-key everyday users
C003838,0,Subscription regulars
C003843,1,Transfer & cash movers
C003846,0,Subscription regulars
C003848,3,High-velocity spenders
C003850,3,High-velocity spenders
C003852,1,Transfer & cash movers
C003854,1,Transfer & cash movers
C003856,1,Transfer & cash movers
C003858,3,High-velocity spenders
C003860,0,Subscription regulars
C003862,3,High-velocity spenders
C003869,1,Transfer & cash movers
C003870,0,Subscription regulars
C003872,1,Transfer & cash movers
C003873,0,Subscription regulars
C003877,1,Transfer & cash movers
C003880,3,High-velocity spenders
C003881,0,Subscription regulars
C003886,3,High-velocity spenders
C003887,1,Transfer & cash movers
C003888,0,Subscription regulars
C003889,1,Transfer & cash movers
C003891,1,Transfer & cash movers
C003892,0,Subscription regulars
C003894,3,High-velocity spenders
C003898,3,High-velocity spenders
C003901,1,Transfer & cash movers
C003907,3,High-velocity spenders
C003908,0,Subscription regulars
C003910,1,Transfer & cash movers
C003912,3,High-velocity spenders
C003918,3,High-velocity spenders
C003919,1,Transfer & cash movers
C003920,1,Transfer & cash movers
C003921,3,High-velocity spenders
C003924,3,High-velocity spenders
C003925,3,High-velocity spenders
C003926,2,Low-key everyday users
C003928,3,High-velocity spenders
C003929,0,Subscription regulars
C003930,0,Subscription regulars
C003931,0,Subscription regulars
C003933,2,Low-key everyday users
C003935,0,Subscription regulars
C003936,3,High-velocity spenders
C003938,3,High-velocity spenders
C003939,2,Low-key everyday users
C003941,1,Transfer & cash movers
C003942,2,Low-key everyday users
C003944,3,High-velocity spenders
C003946,3,High-velocity spenders
C003947,0,Subscription regulars
C003949,0,Subscription regulars
C003959,0,Subscription regulars
C003961,3,High-velocity spenders
C003963,0,Subscription regulars
C003964,3,High-velocity spenders
C003965,3,High-velocity spenders
C003966,0,Subscription regulars
C003967,3,High-velocity spenders
C003970,0,Subscription regulars
C003976,3,High-velocity spenders
C003978,0,Subscription regulars
C003980,0,Subscription regulars
C003981,0,Subscription regulars
C003982,1,Transfer & cash movers
C003985,0,Subscription regulars
C003986,1,Transfer & cash movers
C003987,0,Subscription regulars
C003988,0,Subscription regulars
C003990,2,Low-key everyday users
C003991,1,Transfer & cash movers
C003992,1,Transfer & cash movers
C003993,3,High-velocity spenders
C003994,1,Transfer & cash movers
C003995,1,Transfer & cash movers
C003999,1,Transfer & cash movers
